診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
47057B,經內視鏡施行食道擴張術,Endoscopic esophageal dilation,10244,112.11.01,999.12.31,治療處置費,"註：
1.支付規範：
(1)施行次數以每週一次、一年內六次為原則，施行第七次(含)以上者需專案申請。
(2)申報費用時需附詳細治療報告、治療前後照片、相關影像學報告。
(3)內含單次使用消化道導引線、導線/導線蓋和鎖比率為百分之五十六。
(4)若使用食道球可另外申報。
(5)提升兒童加成項目。",適應症：因故造成食道狹窄或食道反覆狹窄致無法正常進食者。
47058B,食道內金屬支架置放術,Esophageal metal stent placement,10153,112.11.01,999.12.31,治療處置費,"註：
1.適應症第(2)點限小兒外科、消化兒科及胸腔外科專科醫師執行。
3.內含單次使用消化道導引線、導線/導線蓋和鎖比率為百分之五十六。
4.提升兒童加成項目。","適應症：
(1)食道或賁門之惡性腫瘤。
(2)因先天或後天兒童食道疾病造成食道狹窄、破裂、滲漏、?管，無法進行傳統手術或手術成效不佳者。"
47059B,治療性導管植入術—希克曼氏導管植入術,Therapeutic catheter implantation — Hickman catheter implantation,3658,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,
47060B,動脈導管置放術(化學治療用),Arterial line insertion for chemotherapy,3000,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47062B,餵食幫浦(天),Feeding pump(day),150,102.01.01,999.12.31,治療處置費,1.不得與47018C、47020C同時申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47063B,主動脈氣球輔助器使用照護費(天),"Intra aortic balloon assist, day",2668,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項限申報七天。,
47064B,遺傳疾病家族會談治療,Genetic consulting,1359,107.12.01,999.12.31,治療處置費,1.本項目請統稱為遺傳疾病家族會談治療。2.每個案申報本項目以一次為原則。3.限衛生福利部委託具優生保健諮詢中心之醫院申報。4.提升兒童加成項目。,
47065B,治療性導管植入術—末梢靜脈植入中心導管術,Therapeutic catheter implantation — PICC(Peripheral line for central venous catheterization),3101,111.03.01,999.12.31,治療處置費,1.提升兒童加成項目。,適應症：(1)癌症化學治療及癌症末期之疼痛治療。(2)下列三項適應症且預期同時治療達二週以上之病人：A.使用全靜脈營養輸液（TPN）（未滿二歲嬰兒本項為靜脈營養輸液，不限TPN）。B.免疫不全與使用免疫抑制劑。C.須接受中心靜脈導管置入（CVP）。
47066B,造廔口灌食/天,Feeding through ostomy,100,102.01.01,999.12.31,治療處置費,1.提升兒童加成項目。2.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47067B,經內視鏡食道靜脈瘤結紮術,Endoscopic esophageal variceal ligation,9455,110.07.01,999.12.31,治療處置費,1.已含括該內視鏡使用費。2.提升兒童加成項目。,
47068B,腦室外引流監視(天),E.V.D. Monitoring (day),500,110.07.01,999.12.31,治療處置費,1.加護病房內不另計價。2.提升兒童加成項目。,
47069B,顱內壓監視器(天),On ICP monitor ( day ),280,110.07.01,999.12.31,治療處置費,"註:1.ICU、燙傷中心使用者已包含於相關費用內,不另計價。2.提升兒童加成項目。",
47070B,烤燈使用,Heating lamp,46,102.01.01,999.12.31,治療處置費,1.超過三次(含)時，請按47071B申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47071B,烤燈(每一天),Heating each day,130,102.01.01,999.12.31,治療處置費,1.申報47070B「烤燈使用」超過三次者，按本項申報。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47073B,切除CAPD導管外袖口及導管擴創術,EXT. cuff excision and CAPD tunnel debriment,4614,109.01.01,999.12.31,治療處置費,提升兒童加成項目。,
47074C,上消化道內視鏡息肉切除術,Panendoscopic polypectomy,7004,112.11.01,999.12.31,治療處置費,"註：
1.內含單次使用瘜肉切除器比率為百分之十。
2.提升兒童加成項目。",
47075B,自動止血帶止血,Hemostasis with automatical tourniquet,130,102.01.01,999.12.31,治療處置費,註:1.每一急救過程限申報一次。2.提升兒童加成項目。3.本項102年支付標準調整按衛生福利部1031260015號函公告。,
47077B,上消化道息肉切除術,Upper GI tract polypectomy,4421,112.11.01,999.12.31,治療處置費,"註：
1.經由上消化道內視鏡檢查後，依病情需要加做處置，本項目不含鏡檢費用。
2.限胃息肉大於0.5公分(含)以上，使用snear套環切除且送病理切片之案件，需檢附snear套環切除過程照片。
3.同次多顆息肉切除，限以一件申報。
4.內含單次使用瘜肉切除器比率為百分之十五。
5.提升兒童加成項目。",
47078B,胃靜脈瘤硬化治療,Gastric variceal sclerosing therapy,25262,112.11.01,999.12.31,治療處置費,"註:
1.含內視鏡費及藥材費。
2.內含單次使用內視鏡用注射器、組織黏膠、切片夾及治療用耗材比率為百分之六十二。
3.提升兒童加成項目。",
47079B,癌症治療計畫諮詢規劃費,Cancer patient treatment planning and Consultation,2800,112.07.01,999.12.31,治療處置費,註:1.本項包含病人病情及體能狀況、最適合治療方式、住院及門診追蹤之配合度、預後因子、心理調適、經濟、工作、信仰、家族等之諮詢、評估、計畫、治療建議、情緒處理及引導等。2.限病理診斷確定為癌症或復發之病人依治療計畫於治療完成時申報一次，惟肝癌病人無法施行病理組織檢查，得以影像合併腫瘤標記數值確定者比照申報。原位癌病人經多專科醫療團隊討論及安排後續治療追蹤，於治療完成時申報一次，且申報時應於病歷上詳載相關會診紀錄及治療計畫等備查。3.提升兒童加成項目。,
47080B,治療性導管植入術 — Port-A導管植入術,Therapeutic catheter implantation — Port-A catheter implantation,5716,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,
47081B,難治型顱內高壓之低溫療法－首日,,6057,112.10.01,999.12.31,治療處置費,1.支,"適應症：因下列原因造成之顱內高壓，以傳統治療方式如頭部抬高三十度、降腦壓藥物、開顱手術、深度鎮靜且ICP仍處於20mmHg大於十分鐘者，皆無法使顱內壓降低：
(1)出血性中風。
(2)次重度或重度腦創傷GCS≦12。
禁忌症：
(1)任意原因引起之休克。
(2)在意外前即有失智或長期意識障礙。
(3)腦死。
(4)自發性低體溫＜32℃者。
(5)顱內有占據顱內空間病灶如血塊、腦水腫、水腦症等，符合手術適應症，但未進行手術者。
(6)嚴重感染者。
(7)呼吸窘迫症候群。
"
47082B,難治型顱內高壓之低溫療法－第二日至第七日(每日),,2505,112.10.01,999.12.31,治療處置費,1.支,"適應症：因下列原因造成之顱內高壓，以傳統治療方式如頭部抬高三十度、降腦壓藥物、開顱手術、深度鎮靜且ICP仍處於20mmHg大於十分鐘者，皆無法使顱內壓降低：
(1)出血性中風。
(2)次重度或重度腦創傷GCS≦12。
2.禁忌症：
(1)任意原因引起之休克。
(2)在意外前即有失智或長期意識障礙。
(3)腦死。
(4)自發性低體溫＜32℃者。
(5)顱內有占據顱內空間病灶如血塊、腦水腫、水腦症等，符合手術適應症，但未進行手術者。
(6)嚴重感染者。
(7)呼吸窘迫症候群。"
47083C,上消化道泛內視鏡異物摘除術,Upper GI panendoscopic foreign body removal,5355,112.11.01,999.12.31,治療處置費,"註：
1.內含單次使用瘜肉切除器比率為百分之十二。
2.提升兒童加成項目。",
47086C,骨盆肌肉生物回饋訓練,,415,102.01.01,999.12.31,治療處置費,,
47087C,尿失禁電刺激治療,,350,102.01.01,999.12.31,治療處置費,,
47088C,人體器官移植之腦死判定費,Cerebral death evaluation,2800,112.10.01,999.12.31,治療處置費,"1.施行本項需依「腦死判定準則」辦理。
2.提升兒童加成項目。",
47089B,體外循環維生系統管線更換,Change ECMO circuit ( Centrifugal pump + microporous membrane oxygenator ),7392,110.07.01,999.12.31,治療處置費,1.提升兒童加成項目。,適應症如下：(1)心臟手術暫時性心臟功能衰竭。(2)心臟手術後造成右心室衰竭合併可逆性肺高壓危機。(3)心臟病變末期等待接受心臟移植手術。(4)可回復性心肌病變。
47090B,高頻胸壁振盪模式呼吸道清潔(每次至少三十分鐘),,247,111.03.01,999.12.31,治療處置費,1.限住院病患無法有效清除痰液使用，每日限申報最多四次，每一療程最多十天。2.不可同時申報47045C體外引流、57010B呼吸運動（次）、57012B復原運動。3.提升兒童加成項目。,
47091B,淋巴水腫照護-徒手淋巴引流(須達四十分鐘),Care of lymphoedema - manual lymphatic drainage,450,111.03.01,999.12.31,治療處置費,1.執行人員：須接受淋巴照護相關訓練。執行完成後需有適應症、執行過程及執行時間的紀錄。2.提升兒童加成項目。,適應症：癌症末期淋巴水腫病人
47093B,身體約束之護理監測照護費-日：使用八小時以上，每人每次住院限申報日數為四天。,Physical Restraint(Day),186,111.03.01,999.12.31,治療處置費,1.必須每日有醫囑、每班有護理紀錄呈現、病患或家屬同意書、以及醫療團隊應適時討論或視情況解除行動限制並有紀錄。 2.精神科病患及加護病房不得適用本項。 3.提升兒童加成項目。,適應症：限意識欠清且躁動不安的病患，無法遵從醫療措施或其行為可能對本身或他人具有傷害時執行。 
47094B,心跳停止之低溫療法－第一日 (≦二十四小時),,9521,112.07.01,999.12.31,治療處置費,註：1.排除條件：(1)恢復自發性循環大於十二小時。(2)腦出血。(3)收縮血壓<90mmHg。(4)大量活動性出血。(5)無法終止的致命性心律不整。(6)在心跳停止前即有失智或長期意識障礙。(7)末期疾病。3.支付規範：(1)總治療療程為三天。(2)不得同時申報：47037B、47038B、47049B、47081B、47082B。(3)特殊材料費另計。,適應症：心跳停止病人，進行復甦急救後意識仍不清者(GCS<8)或無遵循口頭醫囑（motor<6）。
47095B,心跳停止之低溫療法－第二日 (＞二十四小時-≦四十八小時),,1575,112.07.01,999.12.31,治療處置費,註：1.排除條件：(1)恢復自發性循環大於十二小時。(2)腦出血。(3)收縮血壓<90mmHg。(4)大量活動性出血。(5)無法終止的致命性心律不整。(6)在心跳停止前即有失智或長期意識障礙。(7)末期疾病。2.支付規範：(1)總治療療程為三天。(2)不得同時申報：47037B、47038B、47049B、47081B、47082B。(3)特殊材料費另計。,適應症：心跳停止病人，進行復甦急救後意識仍不清者(GCS<8)或無遵循口頭醫囑（motor<6）。
47096B,心跳停止之低溫療法－第三日 (＞四十八小時),,1575,112.07.01,999.12.31,治療處置費,註：1.排除條件：(1)恢復自發性循環大於十二小時。(2)腦出血。(3)收縮血壓<90mmHg。(4)大量活動性出血。(5)無法終止的致命性心律不整。(6)在心跳停止前即有失智或長期意識障礙。(7)末期疾病。2.支付規範：(1)總治療療程為三天。(2)不得同時申報：47037B、47038B、47049B、47081B、47082B。(3)特殊材料費另計。,適應症：心跳停止病人，進行復甦急救後意識仍不清者(GCS<8)或無遵循口頭醫囑（motor<6）。
47097B,週產期新生兒低溫療法－第一日 (≦二十四小時),,10000,112.07.01,999.12.31,治療處置費,註：1.支付規範：(1)總治療療程為四天。(2)不得同時申報：47037B、47038B、47049B、47081B、4708,適應症，須符合下列三項：(1)出生週數≧三十六週。(2)事件發生後六小時內實施。(3)出生後有「中等嚴重度」至「重度」腦病變之證據，且有下列任一項之情形：A.出生後一小時內嚴重酸血症(severe acidosis)，血液PH值≦7或base deficit≧16mmol/L(採血來源：動脈血或靜脈血均可)。B.出生十分鐘時的Apgar分數≦5分。C.出生後持續急救至少十分鐘。
47098B,週產期新生兒低溫療法－第二日 (＞二十四小時-≦四十八小時),,3994,112.07.01,999.12.31,治療處置費,註：1.支付規範：(1)總治療療程為四天。(2)不得同時申報：47037B、47038B、47049B、47081B、4708,適應症，須符合下列三項：(1)出生週數≧三十六週。(2)事件發生後六小時內實施。(3)出生後有「中等嚴重度」至「重度」腦病變之證據，且有下列任一項之情形：A.出生後一小時內嚴重酸血症(severe acidosis)，血液PH值≦7或base deficit≧16mmol/L(採血來源：動脈血或靜脈血均可)。B.出生十分鐘時的Apgar分數≦5分。C.出生後持續急救至少十分鐘。
